Lon;Lat;ID;W_p;W_max;alpha;m2;Ks;Kc;;
12.12;43.76;1;0.7;100;10.47392677;11.63769641;5.584102708;1.4;;
12.12;43.79;2;0.7;100;10.8919738;12.10219311;6.17015281;1.4;;
12.15;43.76;3;0.7;100;10.91641333;12.12934815;6.301531109;1.4;;
12.15;43.79;4;0.7;100;11.01160542;12.23511714;6.434204466;1.4;;
12.15;43.82;5;0.7;100;11.17043348;12.41159275;6.61033517;1.4;;
12.15;43.85;6;0.7;100;11.39323045;12.65914494;6.670599723;1.4;;
12.18;43.76;7;0.7;100;11.14697955;12.38553283;6.775042592;1.4;;
12.18;43.82;8;0.7;100;11.309968;12.56663111;6.919281015;1.4;;
12.18;43.85;9;0.7;100;11.4563031;12.72922566;6.876703142;1.4;;
12.18;43.88;10;0.7;100;11.89275288;13.21416987;6.407597522;1.4;;
12.18;43.91;11;0.7;100;11.86997651;13.18886279;7.201341822;1.4;;
12.21;43.64;12;0.7;100;11.73505863;13.03895404;6.902525419;1.4;;
12.21;43.76;13;0.7;100;11.36685579;12.62983976;7.426007712;1.4;;
12.21;43.82;14;0.7;100;11.47588748;12.75098608;7.480230265;1.4;;
12.21;43.85;15;0.7;100;11.57094191;12.85660212;7.26684725;1.4;;
12.21;43.88;16;0.7;100;11.77406167;13.08229075;6.973683287;1.4;;
12.21;43.91;17;0.7;100;12.05579901;13.39533223;6.571606003;1.4;;
12.24;43.61;18;0.7;100;11.8234656;13.137184;6.904367813;1.4;;
12.24;43.64;19;0.7;100;11.78514345;13.09460383;6.926555892;1.4;;
12.24;43.76;20;0.7;100;11.5404794;12.82275489;8.098800245;1.4;;
12.24;43.79;21;0.7;100;11.705029;13.00558778;10.7862445;1.4;;
12.24;43.82;22;0.7;100;11.60781176;12.89756862;8.198379393;1.4;;
12.24;43.85;23;0.7;100;11.66801065;12.96445628;8.032800785;1.4;;
12.24;43.88;24;0.7;100;11.76281918;13.06979909;7.684424936;1.4;;
12.24;43.91;25;0.7;100;11.86200476;13.18000529;7.382774206;1.4;;
12.27;43.61;26;0.7;100;11.85119349;13.16799277;6.941270062;1.4;;
12.27;43.64;27;0.7;100;11.83028414;13.14476015;6.96770858;1.4;;
12.27;43.67;28;0.7;100;11.80844638;13.12049597;7.047253803;1.4;;
12.27;43.79;29;0.7;100;11.65255403;12.94728226;8.437843891;1.4;;
12.27;43.82;30;0.7;100;11.67888527;12.97653919;8.509717099;1.4;;
12.27;43.85;31;0.7;100;11.74248417;13.04720463;10.68369574;1.4;;
12.27;43.88;32;0.7;100;11.83774405;13.15304895;8.524115859;1.4;;
12.27;43.91;33;0.7;100;11.8573643;13.17484922;8.085748185;1.4;;
12.3;43.61;34;0.7;100;11.89348468;13.21498298;6.976020292;1.4;;
12.3;43.64;35;0.7;100;11.87839288;13.19821431;6.995406631;1.4;;
12.3;43.67;36;0.7;100;11.86332625;13.18147362;7.055461359;1.4;;
12.3;43.76;37;0.7;100;11.71895867;13.02106519;7.951725984;1.4;;
12.3;43.79;38;0.7;100;11.69552118;12.99502354;8.229246082;1.4;;
12.3;43.82;39;0.7;100;11.70809363;13.00899292;8.483763442;1.4;;
12.3;43.85;40;0.7;100;11.80512287;13.11680319;8.888284391;1.4;;
12.3;43.88;41;0.7;100;12.44847237;13.83163597;10.49055946;1.4;;
12.3;43.91;42;0.7;100;11.90670461;13.22967179;8.657670256;1.4;;
12.33;43.55;43;0.7;100;12.03425757;13.3713973;7.124907242;1.4;;
12.33;43.61;44;0.7;100;11.95645333;13.28494814;7.010945527;1.4;;
12.33;43.64;45;0.7;100;11.94972239;13.27746933;6.994693614;1.4;;
12.33;43.67;46;0.7;100;11.94647228;13.27385809;7.023417976;1.4;;
12.33;43.76;47;0.7;100;11.76073378;13.06748198;7.950332939;1.4;;
12.33;43.79;48;0.7;100;11.69736766;12.99707518;8.328878814;1.4;;
12.33;43.82;49;0.7;100;11.63729257;12.93032508;8.795145057;1.4;;
12.33;43.85;50;0.7;100;11.74030567;13.04478407;8.979083148;1.4;;
12.33;43.88;51;0.7;100;11.85507601;13.17230668;10.68976745;1.4;;
12.33;43.91;52;0.7;100;11.86401995;13.18224439;8.885268312;1.4;;
12.33;43.94;53;0.7;100;11.85971094;13.1774566;8.514167429;1.4;;
12.36;43.55;54;0.7;100;12.0899192;13.43324356;7.288040513;1.4;;
12.36;43.64;55;0.7;100;12.0744511;13.41605678;6.872075401;1.4;;
12.36;43.67;56;0.7;100;12.15596686;13.50662985;6.710518562;1.4;;
12.36;43.7;57;0.7;100;12.07208851;13.41343168;6.967627239;1.4;;
12.36;43.73;58;0.7;100;11.94721475;13.27468305;7.384374804;1.4;;
12.36;43.76;59;0.7;100;11.83356418;13.14840465;7.822531004;1.4;;
12.36;43.79;60;0.7;100;11.67730181;12.97477978;8.494346011;1.4;;
12.36;43.82;61;0.7;100;10.80187419;12.00208244;12.10736811;1.4;;
12.36;43.85;62;0.7;100;11.6389414;12.93215711;9.093229108;1.4;;
12.36;43.88;63;0.7;100;11.76157508;13.06841675;8.979667186;1.4;;
12.36;43.91;64;0.7;100;11.81438295;13.12709217;8.752409837;1.4;;
12.36;43.94;65;0.7;100;11.83808125;13.15342361;8.532600624;1.4;;
12.39;43.52;66;0.7;100;12.22477516;13.58308351;7.709921667;1.4;;
12.39;43.55;67;0.7;100;12.25449947;13.61611052;7.911894029;1.4;;
12.39;43.58;68;0.7;100;12.19753368;13.5528152;7.581205397;1.4;;
12.39;43.61;69;0.7;100;12.15676593;13.5075177;7.194150969;1.4;;
12.39;43.64;70;0.7;100;12.2381437;13.59793745;6.7578851;1.4;;
12.39;43.67;71;0.7;100;12.17236993;13.52485548;7.016433163;1.4;;
12.39;43.7;72;0.7;100;12.19210561;13.54678401;6.81299208;1.4;;
12.39;43.73;73;0.7;100;12.02402578;13.36002865;7.27134889;1.4;;
12.39;43.76;74;0.7;100;11.91893569;13.24326188;7.64122463;1.4;;
12.39;43.79;75;0.7;100;11.80391863;13.11546515;8.113101429;1.4;;
12.39;43.82;76;0.7;100;11.65546194;12.95051327;8.771629611;1.4;;
12.39;43.85;77;0.7;100;11.61776924;12.90863249;9.080176031;1.4;;
12.39;43.88;78;0.7;100;11.70920183;13.01022425;8.870640018;1.4;;
12.39;43.91;79;0.7;100;11.78218372;13.09131524;8.651678054;1.4;;
12.39;43.94;80;0.7;100;11.81978453;13.13309392;8.492819088;1.4;;
12.42;43.55;81;0.7;100;12.85497234;14.2833026;10.81275596;1.4;;
12.42;43.58;82;0.7;100;12.27863263;13.64292515;7.800177436;1.4;;
12.42;43.61;83;0.7;100;12.21219919;13.56911022;7.268084272;1.4;;
